,No,Group no.,Group name,Member,Update date,link
0,1,1214961998594430,DÂN PHƯỚC THÁI,66404,2023-04-25,https://www.facebook.com/groups/1214961998594430
1,2,danhiepphuoc.nhontrach,Dân Hiệp Phước,26000,2023-04-25,https://www.facebook.com/groups/danhiepphuoc.nhontrach
2,3,longtho,NGƯỜI LONG THỌ,76200,2023-04-25,https://www.facebook.com/groups/longtho
3,4,1107068029432551,Cộng Đồng Cư Dân IDICO Nhơn Trạch,21300,2023-04-25,https://www.facebook.com/groups/1107068029432551
4,5,308036724203184,DÂN CHỢ BẮC,6872,2023-04-25,https://www.facebook.com/groups/308036724203184
5,6,NGUOINHONTRACHNT,NGƯỜI NHƠN TRẠCH,93356,2023-04-25,https://www.facebook.com/groups/NGUOINHONTRACHNT
6,7,417022310081417,LONG THÀNH TÔI YÊU,1979,2023-04-25,https://www.facebook.com/groups/417022310081417
7,8,chodongnai2020,Chợ Đồng Nai ✅,68918,2023-04-25,https://www.facebook.com/groups/chodongnai2020
8,9,354986114834382,Cộng Đồng Cư Dân IDICO Nhơn Trạch Đồng Nai,15400,2023-04-25,https://www.facebook.com/groups/354986114834382
9,10,danlongthanh.dn,DÂN LONG THÀNH - ĐỒNG NAI,49000,2023-04-25,https://www.facebook.com/groups/danlongthanh.dn
10,11,1026175444925394,TÔI YÊU LONG THÀNH❤️❤️❤️❤️❤️,3400,2023-04-25,https://www.facebook.com/groups/1026175444925394
11,12,341912150757977,TAM AN .LONG THÀNH,4700,2023-04-25,https://www.facebook.com/groups/341912150757977
12,13,184416527045186,Mua bán Nhơn Trạch- Long Thành Đồng Nai,2100,2023-04-25,https://www.facebook.com/groups/184416527045186
13,14,2891832371057876,Dân Phước Thái Buôn Bán,2300,2023-04-25,https://www.facebook.com/groups/2891832371057876
14,15,danbinhson,DÂN BÌNH SƠN,1700,2023-04-25,https://www.facebook.com/groups/danbinhson
15,16,danlongphuoc,TÔI YÊU LONG PHƯỚC,5900,2023-04-25,https://www.facebook.com/groups/danlongphuoc
16,17,danphuocbinh.lt,DÂN PHƯỚC BÌNH,2200,2023-04-25,https://www.facebook.com/groups/danphuocbinh.lt
17,18,danphuocthai,DÂN PHƯỚC THÁI,1400,2023-04-25,https://www.facebook.com/groups/danphuocthai
18,19,dantanhiep,DÂN TÂN HIỆP,3800,2023-04-25,https://www.facebook.com/groups/dantanhiep
19,20,dancamduong,DÂN CẨM ĐƯỜNG,975,2023-04-25,https://www.facebook.com/groups/dancamduong
20,21,danlongan,DÂN LONG AN,245,2023-04-25,https://www.facebook.com/groups/danlongan
21,22,danbaucan,DÂN BÀU CẠN,1500,2023-04-25,https://www.facebook.com/groups/danbaucan
22,23,1038101193733861,GROUP LONG THÀNH ❤️,4100,2023-04-25,https://www.facebook.com/groups/1038101193733861
23,24,toiyeulongthanh.dn,TÔI YÊU LONG THÀNH,24100,2023-04-25,https://www.facebook.com/groups/toiyeulongthanh.dn
24,25,832829244171976,Dân An Phước,22800,2023-04-25,https://www.facebook.com/groups/832829244171976
25,26,736109850505450,Dân Phước Thiền - Nhơn Trạch,51800,2023-04-25,https://www.facebook.com/groups/736109850505450
26,27,419677463033306,DÂN PHƯỚC THIỀN ✅,4300,2023-04-25,https://www.facebook.com/groups/419677463033306
27,28,228065805358027,Dân Long Phước- Phước Thái,2600,2023-04-25,https://www.facebook.com/groups/228065805358027
